# Freq   Response
      0.00000       1217.8583
     0.505067       1217.8733
      1.01013       1217.9145
      1.51520       1217.8748
      2.02027       1217.8079
      2.52534       1217.8781
      3.03040       1217.8673
      3.53547       1217.8292
      4.04054       1217.8744
      4.54561       1217.7819
      5.05067       1217.7728
      5.55574       1217.8471
      6.06081       1217.7834
      6.56588       1217.8030
      7.07094       1217.7420
      7.57601       1217.7072
      8.08108       1217.7558
      8.58614       1217.7237
      9.09121       1217.7177
      9.59628       1217.6315
      10.1013       1217.6813
      10.6064       1217.6510
      11.1115       1217.5936
      11.6165       1217.5622
      12.1216       1217.5607
      12.6267       1217.5321
      13.1318       1217.4767
      13.6368       1217.5038
      14.1419       1217.5039
      14.6470       1217.4770
      15.1520       1217.4234
      15.6571       1217.2903
      16.1622       1217.2923
      16.6672       1217.2673
      17.1723       1217.2721
      17.6774       1217.1936
      18.1824       1217.1449
      18.6875       1217.1221
      19.1926       1217.1283
      19.6976       1217.0526
      20.2027       1217.0056
      20.7078       1217.0404
      21.2128       1216.9411
      21.7179       1216.9228
      22.2230       1216.8782
      22.7280       1216.8074
      23.2331       1216.7102
      23.7382       1216.6941
      24.2432       1216.6518
      24.7483       1216.6893
      25.2534       1216.5953
      25.7584       1216.5296
      26.2635       1216.4889
      26.7686       1216.3719
      27.2736       1216.3855
      27.7787       1216.3226
      28.2838       1216.2842
      28.7888       1216.2746
      29.2939       1216.1341
      29.7990       1216.0731
      30.3040       1216.0367
      30.8091       1216.0292
      31.3142       1215.9961
      31.8192       1215.9366
      32.3243       1215.8524
      32.8294       1215.6927
      33.3344       1215.6609
      33.8395       1215.6044
      34.3446       1215.6250
      34.8496       1215.4672
      35.3547       1215.4376
      35.8598       1215.3325
      36.3648       1215.3547
      36.8699       1215.2004
      37.3750       1215.1709
      37.8800       1215.0685
      38.3851       1215.0422
      38.8902       1214.8883
      39.3953       1214.8120
      39.9003       1214.8104
      40.4054       1214.6831
      40.9105       1214.6317
      41.4155       1214.5555
      41.9206       1214.4544
      42.4257       1214.4272
      42.9307       1214.2771
      43.4358       1214.2501
      43.9409       1214.1486
      44.4459       1214.0721
      44.9510       1213.9216
      45.4561       1213.8926
      45.9611       1213.7897
      46.4662       1213.7098
      46.9713       1213.6066
      47.4763       1213.4789
      47.9814       1213.3255
      48.4865       1213.2888
      48.9915       1213.1810
      49.4966       1213.0020
      50.0017       1212.9389
      50.5067       1212.7556
      51.0118       1212.6411
      51.5169       1212.5965
      52.0219       1212.3848
      52.5270       1212.2881
      53.0321       1212.1666
      53.5371       1212.0642
      54.0422       1211.8433
      54.5473       1211.7354
      55.0523       1211.5553
      55.5574       1211.4384
      56.0625       1211.2500
      56.5675       1211.0812
      57.0726       1210.9778
      57.5777       1210.7548
      58.0827       1210.5927
      58.5878       1210.4057
      59.0929       1210.1465
      59.5979       1209.9920
      60.1030       1209.7165
      60.6081       1209.5050
      61.1131       1209.3078
      61.6182       1209.0365
      62.1233       1208.7804
      62.6283       1208.5365
      63.1334       1208.3088
      63.6385       1207.9618
      64.1435       1207.6686
      64.6486       1207.3877
      65.1537       1207.1183
      65.6587       1206.8138
      66.1638       1206.4774
      66.6689       1206.1092
      67.1740       1205.7050
      67.6790       1205.3095
      68.1841       1204.9199
      68.6891       1204.4942
      69.1942       1204.0770
      69.6993       1203.6610
      70.2044       1203.1671
      70.7094       1202.6749
      71.2145       1202.1837
      71.7196       1201.6968
      72.2246       1201.1254
      72.7297       1200.5157
      73.2348       1199.9425
      73.7398       1199.3286
      74.2449       1198.6695
      74.7500       1197.9663
      75.2550       1197.2973
      75.7601       1196.5819
      76.2652       1195.8178
      76.7702       1195.0458
      77.2753       1194.2625
      77.7804       1193.4295
      78.2854       1192.5090
      78.7905       1191.6447
      79.2956       1190.6217
      79.8006       1189.6893
      80.3057       1188.6639
      80.8108       1187.6256
      81.3158       1186.4481
      81.8209       1185.3629
      82.3260       1184.1415
      82.8310       1182.9315
      83.3361       1181.6601
      83.8412       1180.3259
      84.3462       1178.8902
      84.8513       1177.4976
      85.3564       1176.0333
      85.8614       1174.4639
      86.3665       1172.9309
      86.8716       1171.2903
      87.3766       1169.6105
      87.8817       1167.8217
      88.3868       1166.0293
      88.8918       1164.1566
      89.3969       1162.2383
      89.9020       1160.2073
      90.4071       1158.1596
      90.9121       1156.0320
      91.4172       1153.7942
      91.9222       1151.4989
      92.4273       1149.1788
      92.9324       1146.7740
      93.4375       1144.2449
      93.9425       1141.7240
      94.4476       1139.0767
      94.9527       1136.3668
      95.4577       1133.5414
      95.9628       1130.6728
      96.4679       1127.6858
      96.9729       1124.6279
      97.4780       1121.5267
      97.9831       1118.2817
      98.4881       1114.9853
      98.9932       1111.6405
      99.4983       1108.1410
      100.003       1104.5803
      100.508       1100.9329
      101.013       1097.1882
      101.519       1093.3198
      102.024       1089.4165
      102.529       1085.3892
      103.034       1081.2837
      103.539       1077.1001
      104.044       1072.8127
      104.549       1068.4219
      105.054       1063.9342
      105.559       1059.3796
      106.064       1054.6947
      106.569       1049.9753
      107.074       1045.1276
      107.579       1040.2116
      108.084       1035.1817
      108.589       1030.0739
      109.095       1024.8755
      109.600       1019.5905
      110.105       1014.2293
      110.610       1008.7684
      111.115       1003.2414
      111.620       997.60153
      112.125       991.90331
      112.630       986.15043
      113.135       980.28728
      113.640       974.35724
      114.145       968.34368
      114.650       962.28436
      115.155       956.12708
      115.660       949.91866
      116.165       943.63684
      116.671       937.30349
      117.176       930.88933
      117.681       924.43174
      118.186       917.92392
      118.691       911.34255
      119.196       904.72199
      119.701       898.04921
      120.206       891.33213
      120.711       884.57643
      121.216       877.77015
      121.721       870.93630
      122.226       864.06273
      122.731       857.15749
      123.236       850.21796
      123.741       843.24968
      124.247       836.26547
      124.752       829.25773
      125.257       822.22478
      125.762       815.17678
      126.267       808.12153
      126.772       801.04707
      127.277       793.97169
      127.782       786.89038
      128.287       779.80021
      128.792       772.71527
      129.297       765.62657
      129.802       758.54811
      130.307       751.47147
      130.812       744.40947
      131.317       737.35452
      131.823       730.30745
      132.328       723.28673
      132.833       716.28212
      133.338       709.29572
      133.843       702.32963
      134.348       695.39203
      134.853       688.47841
      135.358       681.58399
      135.863       674.73049
      136.368       667.90646
      136.873       661.10995
      137.378       654.35685
      137.883       647.62621
      138.388       640.94185
      138.894       634.29123
      139.399       627.68955
      139.904       621.12243
      140.409       614.59732
      140.914       608.12046
      141.419       601.68801
      141.924       595.29644
      142.429       588.95149
      142.934       582.65592
      143.439       576.41608
      143.944       570.21312
      144.449       564.06924
      144.954       557.96891
      145.459       551.91929
      145.964       545.92138
      146.470       539.98013
      146.975       534.09168
      147.480       528.24888
      147.985       522.46165
      148.490       516.73069
      148.995       511.05396
      149.500       505.42586
      150.005       499.85762
      150.510       494.34147
      151.015       488.88716
      151.520       483.47354
      152.025       478.12543
      152.530       472.83114
      153.035       467.57604
      153.540       462.38954
      154.046       457.25368
      154.551       452.17810
      155.056       447.15416
      155.561       442.18910
      156.066       437.27350
      156.571       432.40647
      157.076       427.58822
